Date,Amount,Description,Merchant
2024-12-10,52.40,Grocery run,Whole Foods
2024-12-10,14.99,Music streaming subscription,Spotify
2024-12-09,289.00,Monthly phone bill,Verizon
2024-12-09,120.75,Dinner with friends,Sakura Bistro
2024-12-08,2100.00,Office rent,WeWork
2024-12-08,75.15,Taxi to airport,Uber
2024-12-07,340.60,Cloud compute instance,AWS
2024-12-07,29.99,Notebook and pens,Office Depot
2024-12-06,980.00,Flight to San Diego,BlueBird Air
2024-12-06,12.49,Face wash and shampoo,CVS
2024-12-05,450.00,Freelancer payment,Upwork
2024-12-05,65.30,Gym supplements,Pulse Fitness
2024-12-04,482.23,Grocery shopping,Midtown Grocer
2024-12-03,1289.56,Flight booking,BlueBird Air
2024-12-02,6421.87,Cloud service subscription,Nimbus Cloud AI
2024-12-01,45.50,Coffee and lunch,Golden Bean Cafe
2024-11-30,320.00,Monthly workspace,Urban Cowork
2024-11-29,89.99,Gym membership,Pulse Fitness
2024-11-28,35.89,Household cleaning supplies,Target
2024-11-27,119.00,Online course subscription,Coursera
2024-11-27,8.49,Snacks and water,7-Eleven
2024-11-26,250.00,Team dinner,Olive Garden
2024-11-26,199.99,Wireless headphones,Sony Electronics
2024-11-25,305.00,Conference ticket,Global Tech Summit
2024-11-25,64.20,Taxi back home,Lyft
